$p$,$r$,$N$,data,error
0.0,0.4,372,124.0,0.0
0.0,0.41,60,19.9982625,0.00044109105126555523
0.0,0.41,72,23.999722281563766,0.00018926462236019864
0.0,0.41,84,27.999847723465813,0.00010811169697723979
0.0,0.41,108,36.0,0.0
0.0,0.41,132,44.0,0.0
0.0,0.41,168,56.0,0.0
0.0,0.41,204,68.0,0.0
0.0,0.41,252,84.0,0.0
0.0,0.41,300,100.0,0.0
0.0,0.41,372,124.0,0.0
0.0,0.42,60,19.9976125,0.0005150123864052348
0.0,0.42,72,23.998857081820123,0.0002932756609104902
0.0,0.42,84,27.99969544693163,0.0001897872998265768
0.0,0.42,108,36.00001983025303,1.9830253034028197e-05
0.0,0.42,132,44.0,0.0
0.0,0.42,168,56.0,0.0
0.0,0.42,204,68.0,0.0
0.0,0.42,252,84.0,0.0
0.0,0.42,300,100.0,0.0
0.0,0.42,372,124.0,0.0
0.0,0.43,60,19.9986,0.000490041339124983
0.0,0.43,72,23.999455244605855,0.00022577368134428318
0.0,0.43,84,28.00005537328516,0.00010359956532825705
0.0,0.43,108,36.00003966050607,3.966050606805807e-05
0.0,0.43,132,44.0,0.0
0.0,0.43,168,56.0,0.0
0.0,0.43,204,68.0,0.0
0.0,0.43,252,84.0,0.0
0.0,0.43,300,100.0,0.0
0.0,0.43,372,124.0,0.0
0.0,0.44,60,19.998325,0.0004552363798249792
0.0,0.44,72,23.999401837214272,0.00022193612139148914
0.0,0.44,84,27.99998615667871,4.153277488584723e-05
0.0,0.44,108,36.0,0.0
0.0,0.44,132,44.0,0.0
0.0,0.44,168,56.0,0.0
0.0,0.44,204,68.0,0.0
0.0,0.44,252,84.0,0.0
0.0,0.44,300,100.0,0.0
0.0,0.44,372,124.0,0.0
0.0,0.45,60,19.9976125,0.0005343709288536933
0.0,0.45,72,23.999508651997434,0.00023004232506309134
0.0,0.45,84,27.99962623032518,0.00018722642673366116
0.0,0.45,108,36.0,0.0
0.0,0.45,132,44.0,0.0
0.0,0.45,168,56.0,0.0
0.0,0.45,204,68.0,0.0
0.0,0.45,252,84.0,0.0
0.0,0.45,300,100.0,0.0
0.0,0.45,372,124.0,0.0
0.0,0.46,60,19.9989625,0.0004243425692015869
0.0,0.46,72,23.99971160008545,0.0001821977207716008
0.0,0.46,84,28.000055373285157,0.00011747143323797357
0.0,0.46,108,36.0,0.0
0.0,0.46,132,44.0,0.0
0.0,0.46,168,56.0,0.0
0.0,0.46,204,68.0,0.0
0.0,0.46,252,84.0,0.0
0.0,0.46,300,100.0,0.0
0.0,0.46,372,124.0,0.0
0.0,0.47,60,19.997575,0.0005111878997070243
0.0,0.47,72,23.999401837214272,0.00021032111310837127
0.0,0.47,84,27.99955701371873,0.00023159619550178198
0.0,0.47,108,35.99980169746966,0.00017956510533400366
0.0,0.47,132,44.0,0.0
0.0,0.47,168,56.0,0.0
0.0,0.47,204,68.0,0.0
0.0,0.47,252,84.0,0.0
0.0,0.47,300,100.0,0.0
0.0,0.47,372,124.0,0.0
0.0,0.48,60,19.998575,0.00048715569335373355
0.0,0.48,72,23.999572740867336,0.0002477289180163598
0.0,0.48,84,27.999833880144525,0.00010541568927503934
0.0,0.48,108,36.0,0.0
0.0,0.48,132,44.0,0.0
0.0,0.48,168,56.0,0.0
0.0,0.48,204,68.0,0.0
0.0,0.48,252,84.0,0.0
0.0,0.48,300,100.0,0.0
0.0,0.48,372,124.0,0.0
0.0,0.49,60,19.9981,0.000495266119225702
0.0,0.49,72,23.99933774834437,0.0002161866717331531
0.0,0.49,84,27.99970929025292,0.00019329288994434092
0.0,0.49,108,36.0,0.0
0.0,0.49,132,44.0,0.0
0.0,0.49,168,56.0,0.0
0.0,0.49,204,68.0,0.0
0.0,0.49,252,84.0,0.0
0.0,0.49,300,100.0,0.0
0.0,0.49,372,124.0,0.0
0.0,0.5,60,19.997925,0.00048788394170546257
0.0,0.5,72,23.999658192693868,0.00022404069462624262
0.0,0.5,84,27.999833880144525,0.00011073602814519893
0.0,0.5,108,35.99994050924089,5.949075910208548e-05
0.0,0.5,132,44.0,0.0
0.0,0.5,168,56.0,0.0
0.0,0.5,192,64.0,0.0
0.0,0.5,204,68.0,0.0
0.0,0.5,228,76.0,0.0
0.0,0.5,252,84.0,0.0
0.0,0.5,288,96.0,0.0
0.0,0.5,300,100.0,0.0
0.0,0.5,336,112.0,0.0
0.0,0.5,372,124.0,0.0
0.0,0.5,408,136.0,0.0
0.0,0.5,492,164.0,0.0
0.0,0.5,600,200.0,0.0
0.0,0.51,60,19.9981875,0.0005134238938581636
0.0,0.51,72,23.999562059389017,0.00019311195790215326
0.0,0.51,84,28.00009690324903,8.189569856014452e-05
0.0,0.51,108,35.99996033949393,3.966050606805812e-05
0.0,0.51,132,44.0,0.0
0.0,0.51,168,56.0,0.0
0.0,0.51,192,64.0,0.0
0.0,0.51,204,68.0,0.0
0.0,0.51,228,76.0,0.0
0.0,0.51,252,84.0,0.0
0.0,0.51,288,96.0,0.0
0.0,0.51,300,100.0,0.0
0.0,0.51,336,112.0,0.0
0.0,0.51,372,124.0,0.0
0.0,0.51,408,136.0,0.0
0.0,0.51,492,164.0,0.0
0.0,0.51,600,200.0,0.0
0.0,0.52,60,19.9982375,0.0004689004117449821
0.0,0.52,72,23.999487289040804,0.0002219589659867888
0.0,0.52,84,27.99998615667871,9.078347995437643e-05
0.0,0.52,108,36.0,2.8048106463613824e-05
0.0,0.52,132,44.0,0.0
0.0,0.52,168,56.0,0.0
0.0,0.52,192,64.0,0.0
0.0,0.52,204,68.0,0.0
0.0,0.52,228,76.0,0.0
0.0,0.52,252,84.0,0.0
0.0,0.52,288,96.0,0.0
0.0,0.52,300,100.0,0.0
0.0,0.52,336,112.0,0.0
0.0,0.52,372,124.0,0.0
0.0,0.52,408,136.0,0.0
0.0,0.52,492,164.0,0.0
0.0,0.52,600,200.0,0.0
0.0,0.53,60,19.9980375,0.0005007331452413272
0.0,0.53,72,23.999487289040804,0.0002558688303250719
0.0,0.53,84,27.999584700361307,0.0002161953157991207
0.0,0.53,108,35.99998016974697,1.9830253034028167e-05
0.0,0.53,132,44.0,0.0
0.0,0.53,168,56.0,0.0
0.0,0.53,192,64.0,0.0
0.0,0.53,204,68.0,0.0
0.0,0.53,228,76.0,0.0
0.0,0.53,252,84.0,0.0
0.0,0.53,288,96.0,0.0
